Date,From,Subject
"Sat, 20 Aug 2022 23:02:31 +0000",PDF By Beatrice Avolio <updates@academia-mail.com>,"=?UTF-8?Q?=F0=9F=93=84_=22Factores_que_limitan_el_crecimiento_de?=
 =?UTF-8?Q?_las_micro_y_peque=C3=B1as_empresas_en_el_Per=C3=BA_=28MYPES?=
 =?UTF-8?Q?=29=22_by_Beatrice_Avolio?="
"Sat, 20 Aug 2022 10:49:04 -0600","""Falabella"" <novedades@pe.falabella.com>","=?UTF-8?B?wqFMb3MgemFwYXRvcyBwZXJmZWN0b3MgcGFyYSBpciBhIGxhIG9m?=
 =?UTF-8?B?aWNpbmEhIPCfkaHwn5K8?="
"Sat, 20 Aug 2022 07:01:37 -0600","""Tottus.com"" <ofertas@pe.tottus.com>","=?UTF-8?B?8J+Nu8K/U2UgdGUgcHJvdm9jYSB1bmEgY2VydmV6YT/wn5iLQmFy?=
 =?UTF-8?B?cmlsIEhlaW5la2VuIGEgUy83OS45MPCfjbs=?="
"Sat, 20 Aug 2022 06:51:28 +0000",RONI GUILLERMO APAZA ACEITUNO <rapazaac@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n=3A_Recuperaci=C3=B3n_de_Laboratorio_de_Redes_y?=
	=?UTF-8?Q?_Comunicaci=C3=B3n_grupo=2E=2E=2E_s=C3=A1b_20_de_ago_de_2022_9pm_=2D_11pm_=28P?=
	=?UTF-8?Q?ET=29_=28gchipanap=40unsa=2Eedu=2Epe=29?="
"Fri, 19 Aug 2022 22:03:55 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Informe_de_gu=C3=ADa_de_labor?=
	=?UTF-8?Q?atorio_10=22?="
"Fri, 19 Aug 2022 17:31:36 -0600","""Falabella"" <novedades@pe.falabella.com>",=?UTF-8?B?8J+YsSDCoUxvIMO6bHRpbW8gZW4gcGFudGFsb25lcyEg8J+Rlg==?=
"Fri, 19 Aug 2022 15:38:10 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=E2=80=93_CONTRALOR=C3=8DA_GENERAL_DE_LA_?=
	=?UTF-8?Q?REP=C3=9ABLICA?="
"Fri, 19 Aug 2022 15:11:08 -0500",OFICINA UNIVERSITARIA DE RESPONSABILIDAD SOCIAL <ouresponsabilidadsocial@unsa.edu.pe>,"=?UTF-8?B?8J+aqCDwnZel8J2XmPCdl5bwnZeo8J2XmPCdl6XwnZeX8J2XlCwgRUwgQ09ST05BVklSVQ==?=
	=?UTF-8?B?UyAoQ09WSUQxOSkgU0lHVUUgRU5UUkUgTk9TT1RST1MsIFRPRE9TIFNPTU9TIFBBUlRFIERFIFNVIFBS?=
	=?UTF-8?B?RVZFTkNJw5NO?="
"Fri, 19 Aug 2022 14:37:32 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,=?UTF-8?Q?Training=2Dme=3A_Gesti=C3=B3n_=C3=A1gil_para_emprender_con_Scrum?=
"Fri, 19 Aug 2022 12:18:18 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?INVITACI=C3=93N_AL_CURSO=2DTALLER_DE_GABRIELA_SARD=C3=93N?=
"Fri, 19 Aug 2022 16:57:16 +0000","""Mentioned by Joshua A. Bell"" <premium@academia-mail.com>","=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n_en_un_art=C3=ADculo_sobre_Collaborationrecient?=
 =?UTF-8?Q?emente_descubiertos_por_Academia?="
"Fri, 19 Aug 2022 10:56:48 -0600","""Falabella"" <novedades@pe.falabella.com>","=?UTF-8?B?SG9sYSBHYWJyaWVsYSDDgW5nZWwg4pyoIERpc2ZydXRhIHR1IHJl?=
 =?UTF-8?B?Z2FsbyBlc3BlY2lhbCDwn46B?="
"Fri, 19 Aug 2022 09:43:39 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA DE PRACTICAS
"Fri, 19 Aug 2022 07:12:57 -0600","""Falabella"" <novedades@pe.falabella.com>","=?UTF-8?B?8J+SmiBEZXNjdWJyZSBlbCBudWV2byBlc3BhY2lvIGRvbmRlIGVz?=
 =?UTF-8?B?dMOhbiB0dXMgbWFyY2FzIGZhdm9yaXRhcyBkZSBGYWxhYmVsbGEg8J+RiQ==?="
"Thu, 18 Aug 2022 22:00:27 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Informe_de_Gu=C3=ADa_de_labor?=
	=?UTF-8?Q?atorio_09=22?="
"Thu, 18 Aug 2022 19:28:09 -0700","""VICENTE ENRIQUE MACHACA ARCEDA (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nuevo_anuncio=3A_=22El_lunes_22_de_Agosto_a_las_4=3A40=2C=E2=80=A6?=
	=?UTF-8?Q?=22?="
"Thu, 18 Aug 2022 22:06:43 +0000 (GMT)",Cisco Learning Network <learningnetwork-noreply@cisco.com>,Congratulations! You have been awarded extra reputation points
"Thu, 18 Aug 2022 15:25:13 -0600","""Tottus"" <contacto@pe.tottus.com>","=?UTF-8?Q?Tenemos_para_t=C3=AD_30%_descuento_en_Murana_est=C3=A9_?=
 =?UTF-8?Q?domingo!_=C2=A1No_te_lo_puedes_perder!?="
"Thu, 18 Aug 2022 14:41:40 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?INVITACI=C3=93N_A_CHARLA_SOBRE_CONSTITUCI=C3=93N_DE_EMPRESAS?=
	=?UTF-8?Q?_EN_REGISTROS_P=C3=9ABLICOS?="
"Thu, 18 Aug 2022 13:36:08 -0600","""Falabella"" <novedades@pe.falabella.com>","=?UTF-8?B?wqFBcHJvdmVjaGEgNTAlIGRzY3RvLiBlbiBsYXMgbWVqb3JlcyBt?=
 =?UTF-8?B?w6FxdWluYXMhIPCfj4s=?="
"Thu, 18 Aug 2022 14:16:00 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL
"Thu, 18 Aug 2022 13:35:33 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?INVITACI=C3=93N_A_CHARLA_SOBRE_CONSTITUCI=C3=93N_DE_EMPRESAS?=
	=?UTF-8?Q?_EN_REGISTROS_P=C3=9ABLICOS?="
"Thu, 18 Aug 2022 11:28:46 -0700","""MANUEL EDUARDO LOAIZA FERNANDEZ (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Examen_sustitutorio=3A_Ejer?=
	=?UTF-8?Q?cicios_sobre_creaci=C3=B3n_y_visualizaci=C3=B3n_del_Tri=C3=A1ngulo_de_Si?=
	=?UTF-8?Q?erpinski=22?="
"Thu, 18 Aug 2022 10:46:57 -0600","""Tottus.com"" <ofertas@pe.tottus.com>","=?UTF-8?B?8J+al/CfpbPCoUdBTkEgY29tcHJhbmRvIGVuIFRPVFRVUyBkZXNk?=
 =?UTF-8?B?ZSBGYWxhYmVsbGEuY29tISDwn6eh?="
"Thu, 18 Aug 2022 06:37:08 +0000","""Academia.edu"" <premium@academia-mail.com>","Someone saw ""Ensayo, salud sin tecnologia"" in an Academia search"
"Thu, 18 Aug 2022 03:19:03 +0000 (UTC)",TechTarget <info@sg-lists-email.techtarget.com>,Welcome. We think you should read these 5 articles next.
"Thu, 18 Aug 2022 02:30:53 +0000",Trello <do-not-reply@trello.com>,"=?UTF-8?Q?_YOBER_MAYKOL_MENDOZA_SURCO_ha_movido_la?=
 =?UTF-8?Q?_tarjeta_RF01_-_Registrar_Usuario_a_?=
 =?UTF-8?Q?=F0=9F=93=8CDone_de_EcoWalkers=20?="
"Wed, 17 Aug 2022 23:02:32 +0000",PDF By Omar Betanzos <updates@academia-mail.com>,"=?UTF-8?Q?=F0=9F=93=84_=22La_revoluci=C3=B3n_de_la_nanomedicina=22?=
 =?UTF-8?Q?_by_Omar_Betanzos?="
"Wed, 17 Aug 2022 16:54:23 -0600","""Falabella"" <novedades@pe.falabella.com>","=?UTF-8?B?8J+kqSDCoUxsZWfDsyBsbyBudWV2byBlbiBNYW5nbyBUZWVuISA=?=
 =?UTF-8?B?8J+Smg==?="
"Wed, 17 Aug 2022 20:22:28 +0000","""Coursera"" <no-reply@m.mail.coursera.org>","=?utf-8?B?UXVlZGFuIHBvY29zIGTDrWFzIHBhcmEgcXVlIHB1ZWRhcyBpbnNj?=
	=?utf-8?B?cmliaXJ0ZQ==?="
"Wed, 17 Aug 2022 19:10:37 +0000",=?UTF-8?B?RmFybWFjb2VwaWRlbWlvbG9nw61hIGRlIHBzaWNvZsOhcm1hY29zIGVtcGxl?= =?UTF-8?B?YWRvcyBlbiBsYSBwcsOhY3RpY2EgcGVkacOhdHJpY2EgZW4gZWwgU2Vydmlj?= =?UTF-8?B?aW8gZGXigKY=?= <updates@academia-mail.com>,"=?UTF-8?Q?Claim_=22Farmacoepidemiolog=C3=ADa_de_psicof=C3=A1rmacos?=
 =?UTF-8?Q?_empleados_en_la_pr=C3=A1ctica...=22_for_your_profile?="
"Wed, 17 Aug 2022 19:06:49 +0200",Camilo Thorne <camilo.thorne@gmail.com>,"[spc-l] Fwd: [AIxIA] [jobs] PhD in causal representation learning on
 multimodal data at University of Amsterdam (deadline: 15 September)"
"Wed, 17 Aug 2022 15:31:36 +0000",=?UTF-8?B?TWVudGlvbmVkIGJ5IERhbmllbCAgUGF0w7NuIERvbcOtbmd1ZXo=?= <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n_en_un_art=C3=ADculo_sobre_Environmental_Sustai?=
 =?UTF-8?Q?nabilityrecientemente_descubiertos_por_Academia?="
"Wed, 17 Aug 2022 15:30:34 +0000",Olha from Visme <updates@visme.co>,"Introducing Master Layout for presentations: one layout to rule
 them all!"
"Wed, 17 Aug 2022 09:55:33 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL
"Wed, 17 Aug 2022 08:36:09 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA DE PRACTICAS
"Wed, 17 Aug 2022 07:54:33 +0000","""Coursera"" <no-reply@m.mail.coursera.org>",Why choose MSc in Innovation and Entrepreneurship?
"Tue, 16 Aug 2022 17:51:15 -0500",SUBDIRECCION DE BIENESTAR UNIVERSITARIO <bienestar@unsa.edu.pe>,"=?UTF-8?Q?=F0=9D=97=A5=F0=9D=97=98=F0=9D=97=96OMENDACIONES_PARA_PREVENIR_EL_CONTAGIO_D?=
	=?UTF-8?Q?E_LA_VIRUELA_DEL_MONO?="
"Tue, 16 Aug 2022 15:43:26 -0700","""MANUEL EDUARDO LOAIZA FERNANDEZ (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nueva_tarea=3A_=22Examen_sustitutorio=3A_Ejercicios_sobre?=
	=?UTF-8?Q?=E2=80=A6=22?="
"Tue, 16 Aug 2022 15:38:58 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?INVITACI=C3=93N_A_CHARLA_SOBRE_CONSTITUCI=C3=93N_DE_EMPRESAS?=
	=?UTF-8?Q?_EN_REGISTROS_P=C3=9ABLICOS?="
"Tue, 16 Aug 2022 12:17:17 -0700","""LUCY ANGELA DELGADO BARRA (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22ACTIVIDADES_Y_EVALUACI=C3=93N=22?=
"Tue, 16 Aug 2022 12:14:56 -0700","""LUCY ANGELA DELGADO BARRA (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22ACTIVIDADES_Y_EVALUACI=C3=93N=22?=
"Tue, 16 Aug 2022 12:13:50 -0700","""LUCY ANGELA DELGADO BARRA (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22DESARROLLO_DE_LA_SESI=C3=93N=22?=
"Tue, 16 Aug 2022 12:03:10 -0700","""LUCY ANGELA DELGADO BARRA (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Nuevo_material=3A_=22DESARROLLO_DE_LA_SESI=C3=93N=22?=
"Tue, 16 Aug 2022 11:40:22 -0600","""Falabella"" <novedades@pe.falabella.com>",Lanzamiento Wild Rose.
"Tue, 16 Aug 2022 12:32:44 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA LABORAL
"Tue, 16 Aug 2022 17:09:09 +0000","""Academia.edu"" <premium@academia-mail.com>","=?UTF-8?Q?A_paper_published_by_a_member_of_the_Ingenier=C3=ADa?=
 =?UTF-8?Q?_Qu=C3=ADmica_department_at_UTN_C=C3=B3rdoba_mentions_the_name?=
 =?UTF-8?Q?_=22Gabriela_Angel_Chipana_Perez=22?="
"Tue, 16 Aug 2022 12:05:47 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=E2=80=93_CONTRALORIA_GENERAL_DE_LA_R?=
	=?UTF-8?Q?EP=C3=9ABLICA?="
"Tue, 16 Aug 2022 11:32:35 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n_a_inscribirse_en_el_programa_de_TALENTOS?=
	=?UTF-8?Q?_COMERCIALES_en_BACKUS?="
"Tue, 16 Aug 2022 11:00:25 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?Convocatoria_Programa_de_Becarios_2023_=E2=80=93_SMCV?=
"Tue, 16 Aug 2022 13:47:05 +0000",Mentioned by Janyeliton Alencar de Oliveira <premium@academia-mail.com>,"=?UTF-8?Q?50%_Off,_2_days_only_-_=E2=80=9CG._Chipana?=
 =?UTF-8?Q?_Perez=E2=80=9D:_1_new_mention_found_in_a_paper_by_someone_in?=
 =?UTF-8?Q?_Jo=C3=A3o_Pessoa,_Brazil?="
"Tue, 16 Aug 2022 08:36:28 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?=F0=9F=93=98_Presentaci=C3=B3n_de_Libro=3A_Literatura_y_videojuego?=
	=?UTF-8?Q?s=3A_dos_mundos_que_juegan?="
"Tue, 16 Aug 2022 14:15:33 +0200","""SHEIN"" <shein@edm.shein.com>",Ofertas Misteriosas | 3 =?UTF-8?Q?art=C3=ADculos=20=3D=31=39=E2=82=AC?=
"Mon, 15 Aug 2022 22:42:08 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Nueva_tarea=3A_=22Informe_de_gu=C3=ADa_de_laboratorio_10=22?=
"Mon, 15 Aug 2022 22:40:30 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>",=?UTF-8?Q?Nueva_tarea=3A_=22Informe_de_Gu=C3=ADa_de_laboratorio_09=22?=
"Wed, 10 Aug 2022 09:13:57 -0500",Victor Reyna Garcia <victor.reyna313@gmail.com>,"Re: [spc-l] Oportunidad - Data Scientist, AI Analytics, Ping4All"
"Thu, 11 Aug 2022 15:33:33 -0500",Jorge Valverde-Rebaza <jorge.carlos14@gmail.com>,"[spc-l] Last CFP - SNMAM - SIMBig 2022 - 8 Keynotes Speakers (AI,
 Data Science, NLP, ML, Network Science, SNA)"
"Fri, 12 Aug 2022 18:04:11 -0400",ANIA LORENA CRAVERO LEAL <ania.cravero@ufrontera.cl>,"[spc-l] 41st International Conference of the Chilean Computer Science
 Society (SCCC 2022)."
"Tue, 9 Aug 2022 08:55:37 -0500",ALVARO HENRY MAMANI ALIAGA <amamaniali@unsa.edu.pe>,[spc-l] Fwd: [IPDPS] IPDPS 2023 call for workshops and papers
"Mon, 15 Aug 2022 07:06:49 +0000",ResearchGate <no-reply@researchgatemail.net>,Marcela Quispe Cruz published a conference paper
"Mon, 15 Aug 2022 13:36:03 +0000","""Mentioned by Gabriela Perez-Fuentes, Ph.D."" <premium@academia-mail.com>","=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n_en_un_art=C3=ADculo_sobre_Risk_factorsrecientemente?=
 =?UTF-8?Q?_descubiertos_por_Academia?="
"Sun, 14 Aug 2022 21:56:20 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Informe_de_la_guia_de_lab?=
	=?UTF-8?Q?oratorio_08=22?="
"Sun, 14 Aug 2022 16:34:17 -0700","""YESSENIA DEYSI YARI RAMOS (Classroom)"" <no-reply@classroom.google.com>","Nueva tarea: ""Tarea histograma"""
"Sun, 14 Aug 2022 23:02:29 +0000",PDF By hernan blas <updates@academia-mail.com>,"=?UTF-8?Q?=F0=9F=93=84_=22EJERCICIOS_RESUELTOS_DE_CADENAS_DE?=
 =?UTF-8?Q?_MARKOV=22_by_hernan_blas?="
"Sun, 14 Aug 2022 12:15:39 +0200","""SHEIN"" <shein@edm.shein.com>","=?UTF-8?Q?=C2=A1Atrapa=20tus=20favoritos=20a=20precios=20a=C3=BAn=20m?=
 =?UTF-8?Q?=C3=A1s=20bajos!?="
"Sun, 14 Aug 2022 09:35:58 +0200",Camilo Thorne <camilo.thorne@gmail.com>,[spc-l] Fwd: [Corpora-List] Full PhD/PostDoc scholarships at HPI (Potsdam/Berlin)
"Sat, 13 Aug 2022 21:57:26 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Informe_de_la_gu=C3=ADa_de_la?=
	=?UTF-8?Q?boratorio_07=22?="
"Sat, 13 Aug 2022 17:17:47 -0700",Wish <offers@wish.com>,=?UTF-8?q?=F0=9F=92=95_Imag=C3=ADnate_en_uno_de_estos_atuendos..._?= =?UTF-8?q?=F0=9F=91=96Ahorra_en_ropa_de_moda_ahora_mismo_=F0=9F=91=97?=
"Sat, 13 Aug 2022 11:55:33 +0000",Mentioned by Jennifer Kotler <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n?="
"Sat, 13 Aug 2022 06:37:07 +0000","""Academia.edu"" <premium@academia-mail.com>","Someone saw ""Ensayo, salud sin tecnologia"" in an Academia search"
"Sat, 13 Aug 2022 04:37:44 +0000",=?UTF-8?Q?RONI_GUILLERMO_APAZA_A=2E=2E=2E_=28v=C3=ADa_Google_Drive=29?= <drive-shares-dm-noreply@google.com>,"Elemento compartido contigo: ""qde-ugri-yio (2022-08-08 17:39 GMT-5)"""
"Fri, 12 Aug 2022 17:01:07 -0600","""Falabella"" <novedades@pe.falabella.com>","=?UTF-8?B?SG9sYSBHYWJyaWVsYSDDgW5nZWwg8J+SmiDCoVNvcnByZXNhISA=?=
 =?UTF-8?B?8J+YsSBFc3RvIGVzIHBhcmEgdGkg8J+RifCfjoE=?="
"Fri, 12 Aug 2022 16:22:08 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,I Convocatoria UNSA 2022 / Deportes
"Fri, 12 Aug 2022 12:18:54 -0500",DIRECCION UNIVERSITARIA DE GESTION DE LA INFORMACION <vri.gestioninformacion@unsa.edu.pe>,"=?UTF-8?Q?Fwd=3A_Acceso_a_nuestras_bases_de_datos_para_estudiant?=
	=?UTF-8?Q?es_Estudio_Ni=C3=B1os_del_Milenio?="
"Fri, 12 Aug 2022 11:09:31 -0500",DIRECCION UNIVERSITARIA DE GESTION DE LA INFORMACION <vri.gestioninformacion@unsa.edu.pe>,"=?UTF-8?Q?Presentaci=C3=B3n_del_libro_=22La_Informaci=C3=B3n_Cient=C3=ADfica?=
	=?UTF-8?Q?=3A_manual_para_su_b=C3=BAsqueda_y_uso=22?="
"Fri, 12 Aug 2022 10:58:00 -0500",DIRECCION UNIVERSITARIA DE GESTION DE LA INFORMACION <vri.gestioninformacion@unsa.edu.pe>,"=?UTF-8?Q?Fwd=3A_Segunda_circular=3A_1er=2E_Congreso_internacional_d?=
	=?UTF-8?Q?e_metodolog=C3=ADa_de_investigaci=C3=B3n_en_ciencias_sociales?="
"Fri, 12 Aug 2022 04:19:28 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","Nueva tarea: ""Informe de la guia de laboratorio 08"""
"Fri, 12 Aug 2022 04:12:58 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22Valoraci=C3=B3n_del_cuestionario_de_la_?=
	=?UTF-8?Q?guia=E2=80=A6=22?="
"Fri, 12 Aug 2022 06:22:20 +0000 (UTC)","""Turing - U.S. Software Jobs"" <hiring@turing.com>","Gabriela,  We have awesome remote U.S. jobs waiting for engineers
 like you."
"Fri, 12 Aug 2022 04:43:07 +0000",PDF By Rodrigo A <updates@academia-mail.com>,"=?UTF-8?Q?=F0=9F=93=84_=22Tesis_sobre_nanotecnologia=22_by_Rodrigo?=
 =?UTF-8?Q?_A?="
"Fri, 12 Aug 2022 03:30:54 +0000",Oleg from Nicepage <olegdudko@nicepage.com>,"Stay in touch with Nicepage on Facebook: Awesome Templates, Video
 Tutorials and Updates"
"Thu, 11 Aug 2022 15:19:16 -0500",OFICINA UNIVERSITARIA DE RESPONSABILIDAD SOCIAL <ouresponsabilidadsocial@unsa.edu.pe>,"=?UTF-8?B?8J2XpfCdl5jwnZeW8J2XqPCdl5jwnZel8J2Xl/Cdl5QsIEVMIENPUk9OQVZJUlVTIChDTw==?=
	=?UTF-8?B?VklEMTkpIFNJR1VFIEVOVFJFIE5PU09UUk9TLCBUT0RPUyBTT01PUyBQQVJURSBERSBTVSBQUkVWRU5D?=
	=?UTF-8?B?ScOTTg==?="
"Thu, 11 Aug 2022 14:27:31 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Conferencia=3A_Log=C3=ADstica_de_=C3=BAltima_milla_y_distribuc?=
	=?UTF-8?Q?i=C3=B3n_capilar_en_la_ciudad_de_Arequipa?="
"Thu, 11 Aug 2022 10:52:28 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?=F0=9F=93=98_Presentaci=C3=B3n_de_Libro=3A_La_Informaci=C3=B3n_Cient=C3=AD?=
	=?UTF-8?Q?fica=3A_manual_para_su_b=C3=BAsqueda_y_uso?="
"Thu, 11 Aug 2022 17:11:48 +0200","""SHEIN"" <shein@edm.shein.com>","=?UTF-8?Q?=C2=A1La=20vuelta=20a=20clase=20m=C3=A1s=20cool=20=23SHEINback?=
 =?UTF-8?Q?=32school=20viene=20con=20muchos=20descuentos!?="
"Thu, 11 Aug 2022 10:22:43 +0000","""Mentioned by Gabriela Perez-Fuentes, Ph.D."" <premium@academia-mail.com>","=?UTF-8?Q?=E2=80=9CGabriela_Angel_Chipana_Perez=E2=80=9D:_1?=
 =?UTF-8?Q?_menci=C3=B3n_en_un_art=C3=ADculo_sobre_Prevalencerecientemente?=
 =?UTF-8?Q?_descubiertos_por_Academia?="
"Wed, 10 Aug 2022 21:58:13 -0700","""RONI GUILLERMO APAZA ACEITUNO (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Fecha_de_entrega_ma=C3=B1ana=3A_=22Informe_de_la_gu=C3=ADa_de_la?=
	=?UTF-8?Q?boratorio_07=22?="
"Wed, 10 Aug 2022 22:46:56 +0000","""Academia.edu"" <premium@academia-mail.com>","You would have saved 1,784 minutes with Summaries"
"Wed, 10 Aug 2022 13:53:17 -0700","""PABLO CESAR CALCINA CCORI (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?Q?Nuevo_material=3A_=22C=C3=B3digo_de_ejemplo_Deployment_Machi?=
	=?UTF-8?Q?ne=E2=80=A6=22?="
"Wed, 10 Aug 2022 13:10:36 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=E2=80=93_CONTRALOR=C3=8DA_GENERAL_DE_LA_?=
	=?UTF-8?Q?REP=C3=9ABLICA?="
"Wed, 10 Aug 2022 16:30:45 +0000",Nicepage Team <olegdudko@nicepage.com>,Nicepage 4.16: Lock Elements In Editor And More
"Wed, 10 Aug 2022 10:32:26 -0500",JORGE ENRIQUE QUIROZ OVIEDO <jquiroz@unsa.edu.pe>,"=?UTF-8?Q?Fwd=3A_Publicaci=C3=B3n_del_Flyer_de_la_Conferencia=3A_LOG=C3=8D?=
	=?UTF-8?Q?STICA_DE_=C3=9ALTIMA_MILLA_Y_DISTRIBUCI=C3=93N_CAPILAR_EN_LA_CIUDAD_?=
	=?UTF-8?Q?DE_AREQUIPA=5F12=2D08?="
"Wed, 10 Aug 2022 11:34:07 +0200",Camilo Thorne <camilo.thorne@gmail.com>,"[spc-l] Fwd: [AIxIA] 15 fully funded PhD positions in Applied Data
 Science and Artificial Intelligence at the University of Trieste"
"Tue, 9 Aug 2022 15:25:06 -0700",=?UTF-8?B?Q291cnNlIEhlcm8=?= <coursehero@interact.coursehero.com>,=?UTF-8?B?WW91ciBDb3Vyc2UgSGVybyBSZXBvcnQgQ2FyZCEg8J+OiQ==?=
"Tue, 09 Aug 2022 15:01:47 -0700","""MANUEL EDUARDO LOAIZA FERNANDEZ (Classroom)"" <no-reply@classroom.google.com>","=?UTF-8?B?TnVldmEgdGFyZWE6ICJQcsOhY3RpY2EgQ2FsaWZpY2FkYTogTWFuZWpvIGltw6FnZW5lcw==?=
	=?UTF-8?B?IHnigKYi?="
"Tue, 09 Aug 2022 17:12:14 +0000","""Coursera"" <no-reply@m.mail.coursera.org>",Are you a business leader ready to drive innovation?
"Tue, 9 Aug 2022 11:32:51 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Seminario=3A_Desarrollo_urban=C3=ADstico_vertical_metropol?=
	=?UTF-8?Q?itano_y_periurbano_en_la_ciudad_de_Arequipa?="
"Tue, 9 Aug 2022 09:53:32 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?Talleres_de_relaciones_de_pareja=3A_Somos_vaios=40s=3A_aut?=
	=?UTF-8?Q?oestima_y_valoraci=C3=B3n_personal?="
"Tue, 9 Aug 2022 14:16:44 +0200","""SHEIN"" <shein@edm.shein.com>",=?UTF-8?Q?EST=C3=81=20PASANDO=20AHORA=20=7C=20-=35=30=25=20en=20todo?=
"Tue, 9 Aug 2022 08:30:56 +0000",=?UTF-8?B?TWVudGlvbmVkIGJ5IEdpbCBGZWxpcGUgR29uw6dhbHZlcyBNSVJBTkRB?= <premium@academia-mail.com>,"=?UTF-8?Q?50%_Off,_2_days_only_-_=E2=80=9CG._Chipana?=
 =?UTF-8?Q?_Perez=E2=80=9D:_1_mention?="
